# XviD 2pass stat file (core version 1.4.-127)
# Please do not modify this file

i 2 920 0 0 2663 2645
p 2 0 31 889 198 197
p 2 0 22 898 191 191
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 19 901 189 189
p 2 0 18 902 189 189
p 2 0 14 906 186 186
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 0 11 909 186 186
p 2 0 4 916 179 179
p 2 0 7 913 182 182
p 2 0 0 920 177 177
p 2 0 3 917 179 179
p 2 0 0 920 177 177
p 2 0 0 920 177 177
p 2 825 92 3 3774 3007
p 2 683 237 0 5304 3067
p 2 524 396 0 7008 3071
p 2 415 505 0 8287 2949
p 2 335 585 0 9564 2750
p 2 299 621 0 10365 2789
p 2 237 683 0 11424 2738
p 2 187 733 0 12024 2714
p 2 175 745 0 12040 2615
p 2 163 757 0 12154 2679
p 2 142 778 0 12213 2574
p 2 119 801 0 12655 2579
p 2 98 822 0 13127 2465
p 2 82 838 0 13339 2528
p 2 97 823 0 13484 2505
p 2 86 834 0 13811 2541
p 2 65 855 0 13965 2442
p 2 50 870 0 14577 2462
p 2 50 870 0 14283 2372
p 2 65 855 0 15125 2504
p 2 57 863 0 14469 2374
p 2 50 870 0 15699 2439
p 2 43 877 0 15999 2363
p 2 39 881 0 16443 2316
p 2 52 868 0 16382 2292
p 2 46 874 0 17307 2375
p 2 41 879 0 17757 2256
p 2 26 894 0 18774 2290
p 2 32 888 0 18286 2213
p 2 36 884 0 19061 2301
p 2 40 880 0 19263 2256
p 2 24 896 0 20066 2263
p 2 17 903 0 20400 2138
p 2 27 893 0 20799 2216
p 2 28 892 0 20768 2102
p 2 33 887 0 21738 2215
p 2 1 917 2 13480 1488
p 2 2 898 20 13229 1472
p 2 3 917 0 13704 1488
p 2 6 907 7 14606 1457
p 2 4 915 1 15668 1482
p 2 1 919 0 16655 1468
p 2 1 918 1 17564 1454
p 2 4 914 2 18265 1492
p 2 2 918 0 18966 1483
p 2 2 912 6 19256 1493
p 2 0 918 2 19265 1498
p 2 3 914 3 19543 1515
p 2 2 918 0 19734 1514
p 2 6 912 2 19407 1521
p 2 3 917 0 20009 1517
p 2 4 915 1 18641 1504
p 2 4 916 0 18950 1525
p 2 5 913 2 19469 1509
p 2 6 914 0 18969 1541
p 2 2 917 1 19331 1508
p 2 4 916 0 18975 1520
p 2 1 919 0 19498 1516
p 2 5 914 1 19246 1524
p 2 5 915 0 19001 1511
p 2 3 916 1 18884 1513
p 2 1 919 0 19103 1498
p 2 3 917 0 18861 1514
p 2 4 916 0 18363 1507
p 2 4 916 0 18386 1516
p 2 6 914 0 18115 1497
p 2 4 916 0 17898 1520
p 2 6 914 0 17622 1536
p 2 3 917 0 16948 1500
p 2 2 918 0 16804 1538
p 2 0 920 0 16584 1490
p 2 3 917 0 15823 1482
p 2 5 915 0 15523 1501
p 2 3 917 0 14918 1481
p 2 1 919 0 14879 1487
p 2 1 919 0 14391 1506
p 2 0 920 0 13594 1466
p 2 1 919 0 13335 1460
p 2 0 920 0 12551 1479
p 2 1 919 0 12535 1473
p 2 1 919 0 12264 1463
p 2 0 920 0 12105 1491
p 2 0 920 0 11972 1486
p 2 1 919 0 11404 1457
p 2 0 920 0 11378 1481
p 2 1 919 0 11115 1485
p 2 0 920 0 10587 1431
p 2 1 919 0 10491 1491
p 2 1 919 0 10312 1459
p 2 2 918 0 10150 1470
p 2 1 919 0 10115 1491
p 2 1 919 0 9579 1458
p 2 3 917 0 9827 1467
p 2 0 920 0 9818 1479
p 2 1 919 0 9655 1471
p 2 0 920 0 9892 1456
p 2 0 920 0 9407 1427
p 2 0 920 0 9375 1453
p 2 0 920 0 9343 1434
p 2 0 920 0 9361 1416
p 2 0 920 0 9459 1465
p 2 0 920 0 9086 1418
p 2 0 920 0 9132 1416
p 2 0 920 0 9339 1450
p 2 0 920 0 9084 1432
p 2 2 918 0 9340 1438
p 2 1 919 0 9208 1435
p 2 0 920 0 10268 1455
p 2 0 920 0 10190 1436
p 2 0 920 0 10353 1428
p 2 3 917 0 10280 1463
p 2 0 920 0 9934 1433
p 2 1 919 0 9795 1419
p 2 0 920 0 9567 1437
p 2 0 920 0 9413 1409
p 2 0 920 0 9440 1456
p 2 0 920 0 8437 1428
p 2 2 918 0 7807 1464
p 2 0 920 0 6729 1390
i 2 920 0 0 25470 4257
p 2 0 598 322 1067 805
p 2 0 509 411 1276 692
p 2 0 317 603 1282 487
p 2 0 282 638 1266 457
p 2 0 220 700 1204 390
p 2 0 249 671 1242 407
p 2 0 167 753 1157 335
p 2 0 109 811 1134 287
p 2 0 134 786 1126 301
p 2 0 169 751 1172 335
p 2 0 108 812 1133 277
p 2 0 134 786 1105 299
p 2 0 137 783 1093 304
p 2 0 101 819 396 274
p 2 0 103 817 342 275
p 2 0 92 828 308 262
p 2 0 87 833 301 257
p 2 0 104 816 355 276
p 2 0 94 826 305 264
p 2 0 59 861 265 233
p 2 0 51 869 257 226
p 2 0 51 869 253 226
p 2 0 72 848 276 244
p 2 0 89 831 300 257
p 2 0 74 846 284 246
p 2 0 87 833 308 256
p 2 0 88 832 291 253
p 2 0 54 866 249 229
p 2 0 51 869 238 220
p 2 0 103 817 322 271
p 2 0 107 813 311 269
p 2 0 85 835 282 251
p 2 0 92 828 292 258
p 2 0 59 861 249 228
p 2 0 40 880 235 213
p 2 0 84 836 282 254
p 2 0 26 894 210 199
p 2 0 76 844 271 242
p 2 0 83 837 282 250
p 2 0 66 854 251 231
p 2 0 41 879 228 213
p 2 0 65 855 255 231
p 2 0 49 871 238 219
p 2 0 44 876 240 212
p 2 0 63 857 266 232
p 2 0 54 866 252 225
p 2 0 21 899 203 196
p 2 0 54 866 244 224
p 2 0 66 854 264 235
p 2 0 54 866 259 229
p 2 0 68 852 270 237
p 2 0 47 873 236 220
p 2 0 28 892 213 202
p 2 0 57 863 255 229
